City_ID,City,Country,Lat,Long,Max temp,Humidity,Cloudness,Wind S,Current Description
0,Ngunguru,NZ,-35.6167,174.5,58.15,78,100,2.8,light rain
1,Cacapava Do Sul,BR,-30.5122,-53.4914,82.74,36,0,4.32,clear sky
2,Rikitea,PF,-23.1203,-134.9692,72.81,78,100,3.8,overcast clouds
3,Atuona,PF,-9.8,-139.0333,77.43,68,30,14.5,scattered clouds
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,79,73,13.29,broken clouds
5,Chuy,UY,-33.6971,-53.4616,85.78,42,0,1.63,clear sky
6,Tiksi,RU,71.6872,128.8694,11.03,95,100,3.71,overcast clouds
7,Chara,RU,56.9064,118.2631,29.01,55,100,2.24,overcast clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,75,13.8,broken clouds
9,Jamestown,US,42.097,-79.2353,50.29,96,90,5.01,overcast clouds
10,Gat,IL,31.61,34.7642,77.4,51,0,12.21,clear sky
11,Kaitangata,NZ,-46.2817,169.8464,48.9,95,70,3.0,broken clouds
12,Richards Bay,ZA,-28.783,32.0377,68.23,75,91,9.19,overcast clouds
13,Berdigestyakh,RU,62.0989,126.6992,20.35,93,100,5.95,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,49.66,57,75,5.75,broken clouds
15,Cap-Aux-Meules,CA,47.3821,-61.8597,50.05,76,75,18.41,broken clouds
16,Luganville,VU,-15.5333,167.1667,79.16,85,100,4.41,overcast clouds
17,Shimoda,JP,34.6667,138.95,60.1,78,91,5.5,overcast clouds
18,Changji,CN,44.0167,87.3167,48.99,49,0,6.71,clear sky
19,Kapaa,US,22.0752,-159.319,71.58,88,1,6.91,clear sky
20,New Norfolk,AU,-42.7826,147.0587,58.91,58,100,3.49,overcast clouds
21,Tuatapere,NZ,-46.1333,167.6833,50.4,96,67,4.14,broken clouds
22,Krasnokamensk,RU,50.0979,118.0369,35.4,59,17,3.31,few clouds
23,Tocopilla,CL,-22.092,-70.1979,68.92,62,11,6.96,few clouds
24,Zhangye,CN,38.9342,100.4517,42.98,49,10,2.59,clear sky
25,Yarkovo,RU,57.4028,67.0786,32.58,97,100,8.14,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,76.89,74,100,9.84,light rain
27,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,28.77,broken clouds
28,Hami,CN,42.8,93.45,51.71,30,0,4.83,clear sky
29,Lompoc,US,34.6391,-120.4579,61.41,68,1,4.61,clear sky
30,Nieuw Nickerie,SR,5.95,-56.9833,83.05,74,31,9.24,scattered clouds
31,Cherskiy,RU,68.75,161.3,-19.03,99,10,5.46,clear sky
32,Fujin,CN,47.26,132.0322,40.39,79,100,9.44,overcast clouds
33,Vaini,TO,-21.2,-175.2,73.56,88,40,9.22,light rain
34,Basco,PH,20.4487,121.9702,80.29,70,48,23.89,scattered clouds
35,Te Anau,NZ,-45.4167,167.7167,49.78,96,92,2.28,overcast clouds
36,Mahebourg,MU,-20.4081,57.7,75.49,69,20,10.36,few clouds
37,Rock Sound,BS,24.9,-76.2,82.42,78,17,15.95,few clouds
38,Urozhaynoye,RU,44.7883,44.9228,43.43,57,0,8.41,clear sky
39,Leningradskiy,RU,69.3833,178.4167,9.7,93,100,21.5,light snow
40,Mataura,NZ,-46.1927,168.8643,49.55,96,83,2.68,broken clouds
41,Alice Springs,AU,-23.7,133.8833,78.35,41,69,6.91,broken clouds
42,Kristinehamn,SE,59.3098,14.1081,57.18,90,70,13.24,broken clouds
43,Carnarvon,AU,-24.8667,113.6333,66.27,63,90,16.11,overcast clouds
44,Mahbubnagar,IN,16.7333,77.9833,69.15,68,100,7.67,overcast clouds
45,Guerrero Negro,MX,27.9769,-114.0611,66.83,64,0,2.73,clear sky
46,Bethel,US,41.3712,-73.414,57.49,83,90,1.99,overcast clouds
47,Khatanga,RU,71.9667,102.5,7.34,90,100,10.33,overcast clouds
48,Valley Station,US,38.1112,-85.8702,52.05,80,75,0.0,broken clouds
49,Pevek,RU,69.7008,170.3133,10.35,94,100,13.29,light snow
50,Bluff,NZ,-46.6,168.3333,53.28,84,38,2.8,scattered clouds
51,Xichang,CN,27.8964,102.2634,54.25,88,16,3.83,few clouds
52,Gamba,GA,-2.65,10.0,77.79,83,100,11.54,light rain
53,Cape Town,ZA,-33.9258,18.4232,77.11,43,20,24.16,light rain
54,La Ronge,CA,55.1001,-105.2842,39.45,93,90,4.61,light intensity drizzle
55,Aguimes,ES,27.9054,-15.4461,74.66,58,20,23.02,few clouds
56,Clovis,US,36.8252,-119.7029,52.03,87,1,0.0,clear sky
57,Taltal,CL,-25.4,-70.4833,65.73,67,15,4.72,few clouds
58,Busselton,AU,-33.65,115.3333,50.04,80,16,8.12,few clouds
59,Eureka,US,40.8021,-124.1637,59.63,95,100,2.06,overcast clouds
60,Coihaique,CL,-45.5752,-72.0662,58.95,58,75,5.75,broken clouds
61,Mar Del Plata,AR,-38.0023,-57.5575,69.82,68,0,8.05,clear sky
62,Puerto Ayora,EC,-0.7393,-90.3518,69.76,99,94,3.0,light rain
63,San Patricio,US,28.017,-97.5169,83.01,68,66,19.77,broken clouds
64,Hilo,US,19.7297,-155.09,67.24,68,1,6.91,clear sky
65,Santa Cruz,BO,-17.8,-63.1667,86.05,39,40,4.61,scattered clouds
66,Stolberg,DE,50.7667,6.2333,63.73,69,58,7.85,broken clouds
67,Qaanaaq,GL,77.484,-69.3632,20.17,94,100,10.38,overcast clouds
68,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,63,10.0,broken clouds
69,Albany,US,42.6001,-73.9662,55.31,77,94,1.01,overcast clouds
70,Ostrovnoy,RU,68.0531,39.5131,30.07,64,100,12.86,overcast clouds
71,Alta Floresta,BR,-9.8756,-56.0861,85.82,66,20,3.44,few clouds
72,Pisco,PE,-13.7,-76.2167,66.25,68,0,5.75,clear sky
73,East London,ZA,-33.0153,27.9116,67.14,82,90,19.57,overcast clouds
74,Castro,BR,-24.7911,-50.0119,69.49,72,74,7.2,broken clouds
75,Kokopo,PG,-4.352,152.2633,77.86,86,11,7.56,light rain
76,Tabalosos,PE,-6.35,-76.6833,70.0,72,89,1.83,overcast clouds
77,Butaritari,KI,3.0707,172.7902,82.29,72,100,13.58,light rain
78,Pundaguitan,PH,6.3711,126.1689,82.11,76,77,2.44,broken clouds
79,Vila Do Maio,CV,15.1333,-23.2167,88.59,75,75,17.34,broken clouds
80,Pangnirtung,CA,66.1451,-65.7125,32.0,74,75,14.97,broken clouds
81,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,10.36,few clouds
82,Champerico,GT,14.3,-91.9167,87.35,83,40,5.99,scattered clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,76.51,81,74,4.81,broken clouds
84,Fort Nelson,CA,58.8053,-122.7002,31.59,93,90,2.3,mist
85,Gazojak,TM,41.1875,61.4036,45.41,67,100,7.52,overcast clouds
86,Aykhal,RU,66.0,111.5,18.52,95,100,8.05,light snow
87,Lavrentiya,RU,65.5833,-171.0,15.53,74,97,7.0,overcast clouds
88,Pelotas,BR,-31.7719,-52.3425,91.42,45,0,4.0,clear sky
89,Yellowknife,CA,62.456,-114.3525,38.41,100,90,0.0,overcast clouds
90,Camapua,BR,-19.5314,-54.0439,86.99,52,98,8.52,overcast clouds
91,Senno,RU,59.5336,33.9167,42.73,90,100,10.13,overcast clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,overcast clouds
93,Camalu,MX,30.85,-116.0667,63.79,50,0,2.62,clear sky
94,Lebu,CL,-37.6167,-73.65,57.65,76,2,16.28,clear sky
95,Hobyo,SO,5.3505,48.5268,81.73,73,49,9.82,scattered clouds
96,Baruun-Urt,MN,46.6806,113.2792,38.5,40,0,8.48,clear sky
97,Riohacha,CO,11.5444,-72.9072,86.16,69,77,10.27,broken clouds
98,San Jose,US,37.3394,-121.895,58.86,91,20,0.0,mist
99,Katsuura,JP,35.1333,140.3,60.12,90,100,5.1,overcast clouds
100,Mehamn,NO,71.0357,27.8492,33.98,65,89,15.84,overcast clouds
101,Mykolayivka,UA,47.5414,30.7561,51.17,60,12,5.03,few clouds
102,Hovd,MN,48.0056,91.6419,38.98,38,12,5.59,few clouds
103,Saskylakh,RU,71.9167,114.0833,-15.43,100,100,2.73,overcast clouds
104,Tasiilaq,GL,65.6145,-37.6368,35.76,71,19,6.46,few clouds
105,Oum Hadjer,TD,13.2954,19.6966,99.45,14,8,7.65,clear sky
106,Kasempa,ZM,-13.4584,25.8338,87.84,24,95,5.7,overcast clouds
107,Haines Junction,CA,60.7522,-137.5108,24.75,93,100,3.44,overcast clouds
108,Martinsville,US,36.6915,-79.8725,58.28,60,1,14.97,clear sky
109,Lyngseidet,NO,69.5763,20.2189,35.69,79,100,17.09,overcast clouds
110,Anadyr,RU,64.75,177.4833,-7.01,76,0,4.0,clear sky
111,Grindavik,IS,63.8424,-22.4338,44.55,81,40,10.36,scattered clouds
112,Meulaboh,ID,4.1363,96.1285,75.43,92,100,6.98,overcast clouds
113,Xai-Xai,MZ,-25.0519,33.6442,73.13,74,69,13.56,broken clouds
114,Husavik,IS,66.0449,-17.3389,37.31,98,100,13.62,moderate rain
115,San Matias,BO,-16.3667,-58.4,93.83,37,100,4.7,overcast clouds
116,Saldanha,ZA,-33.0117,17.9442,64.45,85,100,16.64,overcast clouds
117,Batagay,RU,67.6333,134.6333,11.84,95,100,3.91,overcast clouds
118,Cienfuegos,CU,22.1461,-80.4356,84.34,79,20,3.44,few clouds
119,San Quintin,MX,30.4833,-115.95,63.63,63,0,1.77,clear sky
120,Morant Bay,JM,17.8815,-76.4093,85.62,74,80,9.48,broken clouds
121,Thompson,CA,55.7435,-97.8558,39.36,100,90,5.75,light intensity drizzle
122,Nikolskoye,RU,59.7035,30.7861,48.87,83,100,7.94,overcast clouds
123,Hasaki,JP,35.7333,140.8333,57.6,90,98,7.4,overcast clouds
124,Lamar,US,33.6668,-95.5836,62.89,92,100,8.66,heavy intensity rain
125,Avarua,CK,-21.2078,-159.775,71.65,88,40,5.75,light rain
126,Georgetown,MY,5.4112,100.3354,82.89,82,40,3.0,moderate rain
127,Yulara,AU,-25.2406,130.9889,76.84,22,67,0.0,broken clouds
128,Lorengau,PG,-2.0226,147.2712,81.79,74,82,3.69,broken clouds
129,Taganak,PH,6.0833,118.3,78.94,71,100,4.43,overcast clouds
130,Brae,GB,60.3964,-1.353,53.51,87,100,22.06,overcast clouds
131,Aksarka,RU,66.5606,67.7975,10.53,94,28,4.83,scattered clouds
132,Ahipara,NZ,-35.1667,173.1667,58.91,87,100,4.61,overcast clouds
133,Tsabong,BW,-26.0217,22.401,68.74,70,100,17.27,light rain
134,Oranjestad,AW,12.524,-70.027,87.75,62,40,24.16,scattered clouds
135,Port Alfred,ZA,-33.5906,26.891,67.87,79,100,40.96,overcast clouds
136,Esperance,AU,-33.8667,121.9,51.64,79,78,20.27,light rain
137,Mombaca,BR,-5.7431,-39.6275,95.74,27,65,7.02,broken clouds
138,Iqaluit,CA,63.7506,-68.5145,28.13,92,75,0.0,broken clouds
139,Dikson,RU,73.5069,80.5464,8.83,92,66,3.38,broken clouds
140,Tazovskiy,RU,67.4667,78.7,7.74,94,99,9.17,overcast clouds
141,Hambantota,LK,6.1241,81.1185,79.14,94,20,4.61,few clouds
142,Kahului,US,20.8947,-156.47,75.85,81,1,4.61,clear sky
143,Bafra,TR,41.5678,35.9069,58.82,80,0,3.98,clear sky
144,Umea,SE,63.8284,20.2597,35.53,100,90,3.44,mist
145,Planeta Rica,CO,8.4147,-75.5883,79.74,85,100,6.42,overcast clouds
146,Tautira,PF,-17.7333,-149.15,77.02,76,50,9.53,light rain
147,Kiunga,PG,-6.1219,141.2906,73.65,99,46,2.28,moderate rain
148,Airai,TL,-8.9266,125.4092,63.55,90,95,1.45,overcast clouds
149,Willmar,US,45.1219,-95.0433,49.69,76,90,17.27,overcast clouds
150,Tessalit,ML,20.1986,1.0114,95.32,14,91,8.12,overcast clouds
151,Kolobrzeg,PL,54.1757,15.5834,58.15,100,100,19.98,overcast clouds
152,Abha,SA,18.2164,42.5053,66.02,72,40,12.66,scattered clouds
153,Longyearbyen,SJ,78.2186,15.6401,19.24,63,0,8.05,clear sky
154,Kununurra,AU,-15.7667,128.7333,80.58,89,64,8.05,broken clouds
155,Saint-Augustin,CA,51.226,-58.6502,43.88,60,9,5.44,clear sky
156,Morondava,MG,-20.2833,44.2833,78.04,77,0,20.8,clear sky
157,Shakiso,ET,5.75,38.9167,62.06,90,49,3.0,light rain
158,Upington,ZA,-28.4478,21.2561,84.58,21,75,8.05,broken clouds
159,Nkowakowa,ZA,-23.8878,30.2871,69.85,64,98,9.04,overcast clouds
160,Kavieng,PG,-2.5744,150.7967,81.63,78,26,7.85,moderate rain
161,Narsaq,GL,60.9167,-46.05,30.42,61,0,4.41,clear sky
162,Zaysan,KZ,47.4667,84.8667,52.07,41,100,11.3,overcast clouds
163,Kupang,ID,-10.1667,123.5833,81.68,76,37,9.53,scattered clouds
164,Caravelas,BR,-17.7125,-39.2481,82.76,59,97,10.51,overcast clouds
165,Sitka,US,57.0531,-135.33,44.49,81,90,3.44,light rain
166,Fairbanks,US,64.8378,-147.7164,27.23,91,90,4.61,light snow
167,Umm Lajj,SA,25.0213,37.2685,81.86,62,88,6.62,overcast clouds
168,Barrow,US,71.2906,-156.7887,21.22,86,90,9.22,overcast clouds
169,Hobart,AU,-42.8794,147.3294,59.27,84,100,1.99,overcast clouds
170,Cayenne,GF,4.9333,-52.3333,87.84,80,0,3.0,clear sky
171,Port Elizabeth,ZA,-33.918,25.5701,73.09,82,0,29.93,clear sky
172,Geraldton,AU,-28.7667,114.6,59.41,82,40,0.0,scattered clouds
173,Guerrero,MX,17.6667,-100.0,72.7,82,78,1.52,broken clouds
174,Upernavik,GL,72.7868,-56.1549,23.56,60,100,5.03,overcast clouds
175,Heishan,CN,41.6892,122.1128,50.72,39,0,5.01,clear sky
176,Kandrian,PG,-6.2167,149.55,78.6,89,53,8.21,broken clouds
177,Broken Hill,AU,-31.95,141.4333,74.91,22,66,12.66,broken clouds
178,Monrovia,LR,6.3005,-10.7969,89.37,73,29,8.5,light rain
179,Novoilinsk,RU,51.6829,108.7143,35.94,65,23,1.83,few clouds
180,Buala,SB,-8.145,159.5921,80.1,83,31,6.6,light rain
181,Sincai,RO,46.65,24.3833,56.35,43,16,2.15,few clouds
182,Council Bluffs,US,41.2619,-95.8608,54.45,92,90,16.11,overcast clouds
183,Chalatenango,SV,14.0333,-88.9333,79.56,84,56,0.96,broken clouds
184,Jambi,ID,-1.6,103.6167,77.14,89,31,1.95,scattered clouds
185,Hofn,IS,64.2539,-15.2082,41.41,86,60,4.07,broken clouds
186,Havoysund,NO,70.9963,24.6622,34.03,74,44,25.88,scattered clouds
187,Madras,IN,13.0878,80.2785,84.18,74,40,6.91,haze
188,Togur,RU,58.3631,82.8265,26.44,79,10,8.59,clear sky
189,Russell,US,32.3502,-85.1999,61.79,69,1,0.0,clear sky
190,Bubaque,GW,11.2833,-15.8333,82.51,73,87,8.21,overcast clouds
191,Takoradi,GH,4.8845,-1.7554,82.44,68,96,7.58,overcast clouds
192,Gigmoto,PH,13.7796,124.39,79.83,84,76,8.32,broken clouds
193,Vydrino,RU,51.485,104.8461,44.01,71,14,5.14,few clouds
194,Akureyri,IS,65.6835,-18.0878,37.33,93,90,3.44,overcast clouds
195,Concepcion Del Oro,MX,24.6333,-101.4167,61.81,51,2,4.94,clear sky
196,Bredasdorp,ZA,-34.5322,20.0403,76.28,80,100,15.68,light rain
197,Ribeira Grande,PT,38.5167,-28.7,68.4,77,75,13.8,broken clouds
198,Bengkulu,ID,-3.8004,102.2655,77.23,85,100,2.95,overcast clouds
199,Mangai,CD,-4.05,19.5333,86.13,54,88,5.1,overcast clouds
200,Nanortalik,GL,60.1432,-45.2371,38.5,58,0,1.59,clear sky
201,Sabzevar,IR,36.2126,57.6819,52.88,40,20,29.93,few clouds
202,Road Town,VG,18.4167,-64.6167,86.2,66,20,6.91,few clouds
203,Gilgit,PK,35.9221,74.3087,55.62,46,10,4.18,clear sky
204,Kargasok,RU,59.0556,80.8572,25.74,79,7,11.23,clear sky
205,Vardo,NO,70.3705,31.1107,34.0,86,40,26.46,scattered clouds
206,Bilibino,RU,68.0546,166.4372,-22.47,100,84,2.91,broken clouds
207,Seoul,KR,37.5683,126.9778,51.4,56,0,2.3,clear sky
208,Valley City,US,46.9233,-98.0032,47.39,100,90,5.75,light intensity drizzle
209,Gurupi,BR,-11.7292,-49.0686,95.18,32,79,8.59,broken clouds
210,Bathsheba,BB,13.2167,-59.5167,86.61,62,20,19.57,few clouds
211,Kavaratti,IN,10.5669,72.642,81.72,75,28,7.74,light rain
212,Lengshuijiang,CN,27.6881,111.4294,62.42,72,100,0.81,light rain
213,Kodiak,US,57.79,-152.4072,30.81,55,25,8.16,scattered clouds
214,Hithadhoo,MV,-0.6,73.0833,82.49,75,12,13.71,few clouds
215,Taketa,JP,32.9652,131.3785,52.18,81,0,3.78,clear sky
216,Namibe,AO,-15.1961,12.1522,75.83,64,40,17.27,scattered clouds
217,Pringsewu,ID,-5.3582,104.9744,75.78,93,100,2.71,light rain
218,Nemuro,JP,43.3236,145.575,54.82,89,100,13.18,overcast clouds
219,Waddan,LY,29.1614,16.139,79.14,35,91,7.49,overcast clouds
220,Banda Aceh,ID,5.5577,95.3222,78.69,83,100,8.61,overcast clouds
221,Mbandaka,CD,0.0487,18.2603,82.02,71,82,1.81,light rain
222,Leh,IN,34.1667,77.5833,28.27,57,19,2.82,few clouds
223,Souillac,MU,-20.5167,57.5167,75.58,69,20,10.36,few clouds
224,Adrar,MR,20.5022,-10.0711,87.82,23,25,18.72,scattered clouds
225,Port Said,EG,31.2565,32.2841,76.98,73,0,9.22,clear sky
226,Mombetsu,JP,44.3525,143.3525,47.86,77,100,4.99,overcast clouds
227,Yarmouth,US,41.7057,-70.2286,55.54,97,100,45.01,overcast clouds
228,Jibuti,DJ,11.5,42.5,83.62,47,25,16.42,scattered clouds
229,Burnie,AU,-41.0667,145.9167,54.91,84,91,8.23,overcast clouds
230,Ginda,IN,30.6945,78.4932,50.07,62,4,6.2,clear sky
231,Baneh,IR,35.9975,45.8853,50.23,47,93,6.08,overcast clouds
232,Ponta Do Sol,PT,32.6667,-17.1,75.13,64,37,2.48,scattered clouds
233,Maceio,BR,-9.6658,-35.7353,83.64,78,75,9.22,broken clouds
234,Sakakah,SA,29.9697,40.2064,87.37,24,89,5.1,overcast clouds
235,Saint Anthony,US,45.0205,-93.218,49.93,78,90,4.0,overcast clouds
236,Paamiut,GL,61.994,-49.6678,32.4,65,3,9.42,clear sky
